torneo_id,year,elo_colombia,fifa_rank,avg_age,market_value_meur,wins_last10,draws_last10,losses_last10,goals_scored_last10,goals_conceded_last10,clean_sheets_last10,form_index,qual_position,injuries_key_players,coach_experience_years,home_continent,avg_height_cm,sprint_speed_kmh,prev_world_cups,group_rival_avg_elo,group_rival_max_elo,tournament_avg_elo,octavos_rival_elo,cuartos_rival_elo,semis_rival_elo,final_rival_elo,luck_factor,media_pressure,prep_days,altitude_m,climate,group_points_scored,target_ronda
36,2024,1825.5,15,25.4,989.8,4,2,4,13,9,2,0.4667,3,1,3.8,0,181.2,30.4,6,1774.5,1930.0,1739.0,1722.0,1874.7,1866.0,1981.0,0.1578,5.2,38,1000.0,3,9,1
37,2014,1928.0,9,27.0,752.3,6,2,2,16,5,1,0.6667,1,0,2.1,0,180.1,33.7,5,1651.4,1733.2,1738.4,1877.0,1948.4,1942.5,2025.5,-0.1003,5.6,21,0.0,1,7,5
38,2000,1882.3,17,27.7,536.1,5,0,5,23,6,4,0.5,2,1,0.7,0,174.0,32.3,2,1817.2,1879.2,1849.3,1948.5,1969.2,2128.7,2048.4,-0.0101,7.9,44,0.0,0,4,5
39,2017,1738.1,7,24.3,794.1,7,1,2,10,4,4,0.7333,5,0,2.0,0,179.5,34.0,6,1756.4,1930.4,1837.2,1879.1,2016.4,2054.5,1995.4,-0.1222,4.4,37,0.0,3,6,2
40,1999,1820.0,21,23.2,562.6,3,3,4,13,4,1,0.4,3,0,5.3,0,180.0,33.5,1,1532.1,1525.7,1796.7,1916.6,2043.9,2057.2,1996.6,-0.1869,7.0,41,0.0,2,6,3
41,2017,1788.8,25,27.7,792.2,3,2,5,14,10,7,0.3667,3,0,6.3,0,180.2,33.2,6,1749.8,1843.3,1743.6,1917.0,1940.1,2121.9,2051.3,0.0938,7.4,24,0.0,2,0,0
42,1999,1761.0,16,26.7,679.5,4,4,2,9,8,4,0.5333,5,1,3.3,0,178.8,31.9,2,1767.9,1928.2,1618.2,1741.1,1835.8,1903.2,1886.8,-0.1651,4.1,36,2500.0,3,3,0
43,2013,1904.0,12,26.9,390.7,5,1,4,18,8,2,0.5333,2,0,0.2,0,181.7,33.7,5,1736.4,1864.4,1734.1,1794.8,1956.8,1859.6,2032.1,-0.2496,10.0,21,0.0,1,6,1
44,1994,1855.9,26,24.0,401.1,4,4,2,7,5,2,0.5333,2,1,3.9,0,185.9,33.0,0,1767.4,1920.5,1823.4,1856.8,2013.6,2109.8,2115.7,0.2355,6.4,36,0.0,2,2,0
45,2009,1869.6,19,28.4,751.5,3,5,2,13,3,2,0.4667,4,0,0.5,0,173.9,31.6,2,1870.8,1928.7,1857.6,1906.5,1957.0,2108.7,2206.9,0.0048,7.2,40,0.0,1,1,0
46,2004,1825.0,9,25.5,404.9,5,2,3,10,11,5,0.5667,3,0,20.0,0,177.6,32.8,0,1608.5,1736.0,1863.5,1929.5,1971.0,2017.9,2166.8,0.0645,5.2,36,0.0,0,1,0
47,2026,1929.5,3,27.3,711.5,7,0,3,12,5,2,0.7,1,1,6.0,0,179.1,32.4,8,1673.8,1755.4,1791.0,1905.2,1991.2,2078.7,2003.1,-0.1875,5.5,29,2500.0,1,1,0
48,2024,1962.9,15,27.8,568.7,3,2,5,12,6,4,0.3667,4,0,0.5,0,180.8,32.7,8,1500.0,1619.1,1653.5,1682.5,1885.8,1768.4,1851.1,0.043,8.4,24,0.0,2,3,0
49,2007,1889.9,19,27.3,957.1,4,2,4,8,6,3,0.4667,1,0,6.3,0,187.5,32.9,3,1571.4,1729.4,1680.9,1744.8,1975.6,1940.5,1967.4,-0.1326,6.9,34,0.0,0,7,3
50,2021,1935.7,8,24.1,387.5,3,5,2,11,5,6,0.4667,1,2,6.5,0,182.1,30.8,7,1608.7,1751.6,1779.0,1833.9,1876.5,1981.5,2068.8,0.0892,9.7,23,0.0,3,4,3
51,2015,1829.3,14,26.2,346.5,0,6,4,14,3,2,0.2,3,2,1.2,0,184.7,33.3,6,1856.1,1906.0,1798.3,1883.5,1915.6,1914.0,2085.6,0.0309,6.7,35,0.0,0,3,1
52,2001,1827.4,18,23.1,528.6,7,1,2,11,9,2,0.7333,4,1,9.7,0,187.8,31.6,2,1792.7,1883.7,1774.6,1872.8,1918.1,2003.9,1974.1,-0.1637,3.2,31,0.0,0,2,0
53,2015,1823.2,9,25.4,735.8,4,3,3,8,10,3,0.5,1,4,4.9,0,177.2,36.0,5,1726.4,1874.9,1760.7,1828.3,1855.0,2011.0,2000.6,-0.1017,6.0,39,0.0,1,4,3
54,2017,1812.3,10,27.8,779.0,3,1,6,13,8,3,0.3333,4,2,4.6,0,181.3,35.2,6,1797.0,1817.8,1777.1,1865.4,1871.9,2008.6,1917.1,-0.1945,4.7,30,0.0,3,3,3
55,2016,1881.6,5,25.4,931.4,5,2,3,11,8,2,0.5667,4,0,0.1,0,181.2,30.6,6,1786.1,1932.0,1778.5,1889.3,1932.4,1972.8,2030.2,0.1907,4.3,35,0.0,2,3,0
56,2018,1870.5,15,25.0,719.3,7,0,3,8,4,2,0.7,2,1,1.6,0,182.7,32.2,4,1838.4,1949.6,1756.1,1841.9,1901.8,1987.6,2029.7,0.3497,7.9,31,0.0,2,6,1
57,1994,1742.9,15,24.9,453.6,3,4,3,9,8,4,0.4333,3,0,2.3,0,180.3,31.6,1,1774.8,1769.7,1800.7,1830.8,1972.2,2113.0,2087.4,-0.1717,4.5,20,1000.0,0,6,3
58,2009,1946.9,17,27.5,713.1,5,3,2,16,3,4,0.6,3,2,3.6,0,179.0,33.1,3,1882.9,1930.7,1878.5,2005.5,2057.3,2137.2,2179.9,0.1894,5.2,44,0.0,2,7,1
59,2026,1924.7,4,26.4,670.6,7,2,1,6,9,1,0.7667,3,0,0.9,0,183.7,31.9,9,1814.3,1884.0,1889.9,1978.7,2041.3,2162.2,2170.3,0.0258,5.0,43,0.0,1,3,0
60,2008,1874.0,1,27.9,704.6,1,0,9,15,10,2,0.1,7,2,1.1,0,183.7,32.8,4,1721.0,1849.8,1908.1,1968.5,1974.0,2128.7,2216.7,0.2414,6.3,23,0.0,3,4,1
61,2001,1851.1,21,27.1,450.8,6,0,4,9,8,2,0.6,1,0,8.9,0,180.5,30.9,2,1671.0,1769.9,1680.9,1745.5,1820.6,1993.6,2008.3,0.3993,5.8,25,0.0,4,7,1
62,2005,1801.5,12,29.3,202.0,5,1,4,10,10,1,0.5333,3,1,2.2,0,180.4,31.6,2,1749.4,1847.8,1749.8,1814.2,1970.0,1880.2,2054.6,0.227,6.0,22,2500.0,0,0,0
63,2009,1712.4,19,27.4,612.5,2,3,5,8,13,2,0.3,5,0,3.9,0,176.9,33.2,4,1949.0,2007.8,1880.0,1998.9,1982.7,2136.3,2270.8,0.1828,7.9,22,0.0,2,4,1
64,2013,1777.4,8,24.1,629.5,4,4,2,14,6,4,0.5333,5,0,3.3,0,175.8,36.0,5,1937.1,1966.5,1822.2,1955.1,1965.0,2005.0,2146.2,-0.0061,4.7,35,0.0,1,6,4
65,1998,1821.7,15,27.4,146.0,3,3,4,13,5,3,0.4,5,0,8.8,0,179.4,30.9,0,1834.8,1941.6,1768.8,1858.0,1907.9,2028.2,2128.9,-0.0062,4.9,27,0.0,0,6,1
66,2004,1863.9,15,26.4,282.0,7,0,3,14,4,2,0.7,2,3,1.7,0,173.5,32.0,2,1533.3,1503.5,1868.9,1968.3,1994.8,2176.8,2116.9,-0.0258,7.3,38,0.0,4,3,1
67,2009,1898.2,19,24.3,508.1,5,1,4,15,4,3,0.5333,3,3,8.8,0,179.5,33.7,3,1627.0,1734.6,1680.5,1848.8,1742.8,2003.2,1941.5,0.0942,8.4,21,0.0,1,4,4
68,1997,1659.5,17,25.1,616.6,3,1,6,6,15,5,0.3333,5,3,0.9,0,179.8,32.7,0,1594.1,1840.5,1716.5,1827.3,1797.8,1986.3,2000.5,0.2225,4.7,24,0.0,3,1,0
69,2014,1921.0,15,25.9,747.9,6,1,3,12,9,1,0.6333,5,1,0.4,0,179.9,32.9,5,1748.5,1848.9,1661.3,1721.8,1749.5,1932.9,1994.3,-0.2595,9.0,36,0.0,4,6,3
70,2002,1709.7,22,27.8,345.7,5,1,4,12,8,4,0.5333,3,1,14.5,0,179.9,31.7,3,1836.5,1870.5,1892.5,2007.7,2027.8,2060.8,2207.7,-0.1261,4.5,41,0.0,2,2,0
71,2005,1835.7,14,26.4,365.4,4,2,4,10,12,2,0.4667,3,1,2.2,0,178.7,32.6,3,1660.3,1776.4,1792.0,1837.4,1889.9,2099.9,2036.2,-0.1824,4.5,32,0.0,2,3,1
72,2024,1918.4,5,26.2,622.0,3,1,6,14,8,2,0.3333,5,0,2.5,0,180.1,31.0,8,1781.7,1951.7,1711.9,1775.1,1904.0,1940.6,1977.5,0.0629,7.2,20,1000.0,2,2,0
73,2004,1845.1,17,25.1,487.0,5,2,3,11,10,3,0.5667,1,1,1.8,0,178.0,32.8,3,1793.9,1871.5,1771.6,1827.1,1899.1,1950.7,2021.4,-0.0398,5.6,31,0.0,3,2,0
74,2020,1810.4,1,26.8,316.3,7,1,2,8,5,2,0.7333,1,2,3.5,0,176.3,31.7,7,1755.2,1838.4,1748.7,1804.0,1962.1,1897.1,1957.0,-0.1158,4.8,43,1000.0,2,7,3
75,2017,1792.5,3,30.5,314.0,2,3,5,13,10,2,0.3,4,1,1.8,0,177.9,32.5,5,1917.3,2028.3,1774.0,1899.6,2005.6,2070.2,2096.3,-0.1815,4.9,41,2500.0,0,4,5
76,2014,1868.8,11,30.3,516.6,3,3,4,18,14,3,0.4,5,1,2.5,0,178.5,33.9,6,1673.2,1734.6,1702.3,1795.6,1868.4,1850.6,1914.4,-0.195,9.7,25,0.0,3,1,0
77,2022,1849.1,5,24.4,650.9,4,5,1,10,6,6,0.5667,2,1,5.7,0,181.5,34.0,8,1694.0,1856.2,1609.5,1747.3,1768.1,1883.6,1837.1,-0.0628,3.4,24,0.0,1,0,0
78,2020,1755.4,2,23.5,704.0,6,1,3,12,12,5,0.6333,1,1,2.7,0,177.9,32.2,7,1880.0,1967.8,1707.6,1807.6,1859.2,1912.0,2103.8,0.2092,6.4,37,0.0,4,2,0
79,2013,1827.8,13,27.9,829.0,4,3,3,12,12,3,0.5,1,3,5.5,0,183.5,31.4,4,1865.0,1915.3,1822.2,1865.5,1917.8,2074.4,2206.6,0.1281,6.4,25,0.0,2,0,0
80,2011,1818.8,11,22.0,738.7,5,3,2,13,8,0,0.6,3,1,4.1,0,179.1,32.5,5,1730.7,1851.0,1687.1,1715.5,1889.2,1967.9,2038.5,0.0914,6.2,34,0.0,3,4,3
81,1999,1796.2,33,26.6,830.7,2,4,4,18,7,0,0.3333,2,1,14.5,0,182.0,30.8,2,1744.6,1809.3,1820.1,1902.3,1962.7,2061.7,2070.6,-0.1526,4.8,24,0.0,2,3,0
82,2022,1871.4,13,28.2,520.4,4,3,3,10,6,1,0.5,1,0,5.1,0,180.1,32.9,8,1636.4,1734.6,1661.2,1732.9,1815.5,1863.8,1953.7,0.0949,5.0,28,0.0,0,2,0
83,1999,1791.6,16,25.9,261.0,2,4,4,9,10,3,0.3333,4,5,1.5,0,177.3,33.0,2,1846.9,1897.1,1716.4,1729.6,1860.9,2095.4,2028.0,0.1197,2.6,34,0.0,4,6,5
84,2001,1690.8,9,25.7,638.1,5,5,0,14,12,3,0.6667,6,2,1.2,0,177.6,32.1,1,1579.4,1683.5,1746.6,1749.4,1902.4,2005.3,1914.8,0.0031,5.3,25,0.0,2,6,2
85,2013,1803.8,21,25.7,593.2,5,1,4,11,6,3,0.5333,5,1,4.8,0,181.4,33.9,2,1559.2,1641.2,1769.2,1827.6,1997.7,2037.4,2184.6,0.1303,3.3,35,0.0,1,4,1
86,2008,1746.9,17,27.4,803.6,2,1,7,7,6,4,0.2333,7,1,2.7,0,180.5,32.6,4,1838.3,1994.5,1664.8,1728.6,1766.3,1895.6,1975.0,-0.0416,2.4,37,0.0,2,2,0
87,1998,1833.4,14,28.7,795.0,7,0,3,12,9,3,0.7,1,1,0.9,0,180.5,32.9,0,1850.6,1858.2,1800.2,1836.2,1902.8,1923.6,2107.0,0.0898,2.9,20,0.0,2,3,0
88,2019,1983.1,17,29.0,829.2,4,1,5,15,8,1,0.4333,3,1,1.0,0,182.5,33.3,5,1715.1,1721.2,1765.4,1896.1,1907.7,1947.8,2087.0,0.0185,7.1,22,0.0,0,7,5
89,2003,1884.2,18,28.5,846.6,3,1,6,14,9,2,0.3333,2,2,2.4,0,184.3,30.9,3,1738.7,1817.5,1819.7,1888.1,2041.0,1964.4,2102.8,0.1296,5.8,30,2000.0,0,1,0
90,1994,1914.5,21,27.9,494.9,4,3,3,19,7,2,0.5,1,3,1.5,0,178.7,34.8,1,1676.2,1694.1,1690.2,1720.9,1910.6,2022.4,1914.5,0.0819,8.3,24,1000.0,2,3,0
91,2021,1732.3,9,26.5,799.7,4,3,3,6,14,2,0.5,6,2,1.7,0,182.0,35.4,7,1621.5,1774.2,1752.0,1847.4,1938.8,2024.2,2024.3,-0.2994,6.9,31,0.0,2,7,2
92,1998,1873.6,1,23.1,760.1,5,2,3,11,10,3,0.5667,7,3,0.3,0,174.6,33.7,2,1535.7,1678.2,1785.6,1838.9,1924.9,1956.0,1985.4,0.0005,8.2,31,0.0,1,5,4
93,2014,1879.5,11,27.6,351.4,3,2,5,18,6,3,0.3667,6,1,1.5,0,181.7,30.9,6,1807.3,1913.0,1800.0,1885.8,1938.0,1970.4,2116.6,-0.0023,8.2,41,0.0,0,4,1
94,2005,1887.2,19,29.1,949.5,3,1,6,12,7,2,0.3333,1,1,8.5,0,183.1,34.4,3,1809.6,1922.9,1821.8,1849.9,2069.1,2050.7,2133.8,-0.0426,7.7,35,0.0,2,4,1
95,2022,1820.7,8,29.0,636.6,5,2,3,10,8,4,0.5667,2,0,0.8,0,177.8,32.4,8,1735.9,1812.7,1745.0,1788.7,1947.5,2003.9,2071.7,0.114,4.1,33,0.0,1,1,0
96,2004,1762.5,10,26.4,951.7,3,1,6,15,7,1,0.3333,7,0,5.6,0,182.2,31.8,1,1730.9,1851.3,1678.6,1729.2,1787.7,1754.3,2075.4,0.1019,3.8,41,0.0,0,1,0
97,2016,1833.1,1,27.0,520.1,5,2,3,12,10,3,0.5667,5,0,11.3,0,182.0,31.2,3,1882.7,1949.6,1857.9,1919.6,2001.3,2107.1,2123.2,-0.1483,8.2,20,0.0,4,3,2
98,2009,1714.1,11,26.6,534.4,1,1,8,11,13,6,0.1333,2,0,4.0,0,179.5,32.7,4,1759.2,1904.8,1833.1,1929.8,1927.9,1971.4,2232.4,0.103,7.2,25,0.0,0,2,0
99,1996,1785.6,23,26.8,636.9,2,5,3,12,3,1,0.3667,4,1,0.7,0,180.8,35.0,1,1885.3,1974.2,1775.8,1894.3,1889.5,1927.7,1990.6,-0.0011,5.3,26,2000.0,0,3,3
100,2007,1893.6,1,25.3,490.1,5,2,3,6,8,2,0.5667,3,3,1.5,0,177.9,29.8,4,1725.7,1709.2,1764.3,1825.9,1955.9,1995.0,1972.7,0.1242,7.0,28,0.0,2,2,0
101,2018,1827.7,2,27.7,605.4,4,2,4,9,11,0,0.4667,2,1,2.9,0,180.3,34.8,7,1915.9,1967.5,1731.5,1795.6,1950.9,1959.0,2047.0,0.0788,5.3,43,0.0,0,2,0
102,1995,1820.5,15,24.7,843.5,2,0,8,9,7,4,0.2,2,1,1.0,0,180.4,32.7,0,1500.0,1588.4,1804.6,1852.9,1926.1,2018.5,2122.9,-0.1193,4.0,24,1000.0,1,6,2
103,1997,1849.1,19,27.4,851.8,2,2,6,13,5,2,0.2667,3,1,1.1,0,182.8,35.3,1,1796.4,1885.7,1894.4,1956.0,2030.7,2257.2,2287.1,0.191,6.7,24,0.0,4,9,2
104,2000,1801.3,18,27.2,680.1,4,3,3,10,6,4,0.5,3,1,1.0,0,176.3,34.9,2,1594.8,1702.6,1759.8,1809.3,1888.2,1951.5,2061.3,0.0146,4.0,43,0.0,2,4,1
105,1999,1789.4,13,24.8,629.1,4,3,3,9,7,3,0.5,1,2,1.9,0,176.8,33.6,2,1598.2,1663.3,1735.1,1848.7,1911.6,1955.1,2062.8,-0.1163,5.9,21,0.0,2,6,5
106,2022,1830.4,18,25.6,623.1,5,1,4,14,9,1,0.5333,3,1,5.1,0,179.6,32.3,8,1787.9,1921.4,1834.9,1954.8,1890.0,2073.4,2129.2,-0.1089,6.6,26,0.0,0,4,2
107,2023,1909.1,1,26.4,620.8,4,5,1,11,9,4,0.5667,2,1,3.5,0,180.0,29.7,7,1898.9,2002.5,1758.7,1819.8,1880.5,1908.5,1985.6,0.2066,7.8,25,0.0,2,1,0
108,1996,1777.8,21,24.7,100.0,4,2,4,14,6,2,0.4667,3,2,2.5,0,178.6,32.9,0,1611.6,1739.0,1657.6,1718.4,1842.0,1851.0,1900.7,-0.1961,7.9,32,2500.0,2,7,1
109,1996,1814.9,10,23.6,920.9,6,2,2,12,8,4,0.6667,2,1,16.0,0,178.9,34.7,0,1675.9,1818.6,1725.2,1809.3,1941.0,1954.0,2029.6,0.1745,4.8,41,0.0,0,2,0
110,2021,1832.9,1,23.3,261.0,5,2,3,11,11,3,0.5667,1,1,2.3,0,176.6,30.8,6,1782.2,1841.1,1695.6,1822.7,1806.4,1917.2,2103.1,0.1257,4.3,43,0.0,2,6,1
111,2021,1941.2,1,26.3,637.2,4,3,3,14,5,0,0.5,1,0,2.2,0,180.9,31.9,7,1776.0,1798.2,1726.6,1815.0,1865.6,1814.7,1930.1,-0.1317,6.4,44,0.0,0,1,0
112,1994,1837.0,7,27.3,687.7,1,4,5,11,9,1,0.2333,5,1,1.4,0,180.1,33.1,1,1769.1,1832.9,1928.8,1939.0,2093.5,2201.7,2268.5,0.0014,5.9,20,1000.0,1,9,1
113,2017,1901.0,9,26.9,640.0,8,1,1,11,6,3,0.8333,4,0,5.0,0,180.0,33.0,6,1576.4,1646.1,1836.5,1965.7,2051.8,1966.2,2107.2,0.0597,8.6,32,0.0,1,7,3
114,1996,1845.9,12,26.6,473.1,3,2,5,13,9,3,0.3667,3,1,0.6,0,179.3,31.7,1,1658.4,1709.5,1665.8,1770.5,1818.1,1897.3,1950.0,-0.0811,4.2,36,0.0,0,7,1
115,2021,1912.3,7,25.5,913.8,6,2,2,22,6,4,0.6667,1,0,2.0,0,177.9,33.9,6,1888.8,1961.2,1723.2,1805.4,1970.0,1959.5,2014.0,0.1849,7.1,21,0.0,4,3,0
116,2007,1823.8,14,25.8,320.2,4,1,5,7,8,1,0.4333,1,0,5.7,0,183.5,33.5,4,1748.4,1765.5,1711.3,1755.0,1866.0,1953.6,2048.7,0.1169,5.0,34,0.0,0,4,3
117,1999,1989.6,9,27.3,615.6,4,2,4,13,5,1,0.4667,4,1,5.1,0,181.7,33.7,2,1737.6,1802.1,1731.2,1869.1,1943.0,1946.7,2063.4,0.1564,6.5,22,0.0,1,7,5
118,2012,1859.1,1,27.8,766.7,4,3,3,13,9,1,0.5,3,3,1.7,0,180.6,33.3,1,1846.9,1934.8,1710.4,1715.4,1893.2,1928.3,2034.5,0.034,5.4,43,0.0,2,2,0
119,1997,1803.8,20,26.5,386.2,5,0,5,14,12,3,0.5,1,0,1.6,0,179.6,33.3,1,1677.5,1891.8,1807.8,1858.5,1951.5,2137.2,2143.3,-0.0739,6.2,22,0.0,4,3,0
