Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75,Criollo (Amarru),Ecuador
Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,2.75,Nacional,Nicaragua
Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3.0,Trinitario (Amelonado),Peru
Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2.5,Criollo (Porcelana),Peru
Amano,Madagascar,129,2007,70%,U.S.A.,3.5,Trinitario,Madagascar
Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Criollo,Venezuela
Amano,Cuyagua,147,2007,70%,U.S.A.,3.0,Trinitario (Amelonado),Venezuela
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75,Forastero (Catongo),Indonesia
Amano,Montanya,363,2009,70%,U.S.A.,3.0,Forastero (Arriba) ASSS,Venezuela
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75,"Criollo, Trinitario",Dominican Republic
Amano,Guayas,470,2010,70%,U.S.A.,4.0,Forastero,Ecuador
Amano,Chuao,544,2010,70%,U.S.A.,3.0,Trinitario,Venezuela
Amano,Morobe,725,2011,70%,U.S.A.,4.0,"Amazon, ICS",Papua New Guinea
Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,2.75,Trinitario,Ecuador
Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,2.75,blend,Ecuador
Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3.0,Forastero,Ghana
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3.0,Forastero,Ghana
Amazing Cacao,Platan Bajo,1964,2017,70%,Russia,3.5,"Forastero(Arriba, CCN)",Peru
Amazing Cacao,Maranon,1964,2017,70%,Russia,3.0,"Trinitario, TCGA",Peru
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.5,Trinitario,Peru
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25,Blend,Peru
Ambrosia,Belize,1494,2015,64%,Canada,3.0,Trinitario,Belize
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25,Criollo (Ocumare),Dominican Republic
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Trinitario,Madagascar
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25,Nacional,Papua New Guinea
Ambrosia,Peru,1498,2015,68%,Canada,3.5,Trinitario (Amelonado),Peru
Ambrosia,Venezuela,1498,2015,70%,Canada,3.25,Criollo (Ocumare 77),Venezuela
Amedei,Toscano Black,75,2006,66%,Italy,4.0,Blend,"Peru, Dom. Rep"
Amedei,Ecuador,123,2007,70%,Italy,3.0,Trinitario,Ecuador
Amedei,Grenada,123,2007,70%,Italy,3.5,Trinitario,Grenada
Amedei,Jamaica,123,2007,70%,Italy,3.0,Trinitario,Jamaica
Amedei,Trinidad,129,2007,70%,Italy,3.5,Trinitario,Trinidad
Amedei,Venezuela,123,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela
Amedei,Toscano Black,170,2007,63%,Italy,3.5,Blend,Carribean(DR/Jam/Tri)
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75,Matina,Peru
Amedei,Nine,2092,2018,75%,Italy,3.5,Forastero (Amelonado),Blend
Amedei,Toscano Black,2092,2018,70%,Italy,3.25,"Trinitario, Criollo",Blend
Amedei,Madagascar,2088,2018,70%,Italy,3.0,"Blend-Forastero,Criollo",Madagascar
Amedei,Chuao,2088,2018,70%,Italy,3.0,"Trinitario, Criollo",Venezuela
Amedei,Porcelana,2092,2018,70%,Italy,3.0,Criollo,Venezuela
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4.0,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil
AMMA,Catongo,1065,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil
Anahata,Elvesia,1259,2014,75%,U.S.A.,3.0,"Criollo, Trinitario",Dominican Republic
Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5,"Trinitario, Nacional",Bolivia
Ara,Equateur,1379,2014,75%,France,2.75,blend,Ecuador
Ara,Madagascar,1375,2014,75%,France,3.0,Trinitario,Madagascar
Ara,Chiapas,1379,2014,72%,France,2.5,Trinitario (85% Criollo),Mexico
Ara,Trincheras,1379,2014,75%,France,3.0,Forastero (Arriba) ASSS,Venezuela
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize
Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3.5,Forastero (Amelonado),Brazil
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,2.75,Forastero (Arriba) ASSS,Brazil
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5,Criollo (Ocumare 67),Dominican Republic
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador
Arete,Camino Verde,1602,2015,75%,U.S.A.,3.5,Matina,Ecuador
Arete,Guatemala,1602,2015,70%,U.S.A.,3.25,Forastero (Parazinho),Guatemala
Arete,Chuno,1598,2015,70%,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
Arete,Nacional,1534,2015,68%,U.S.A.,3.5,Forastero (Nacional),Peru
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4.0,Criollo,Costa Rica
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75,Forastero (Amelonado),Dominican Republic
Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25,Amazon,Ecuador
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25,Forastero (Parazinho),Ecuador
Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25,Amazon mix,Fiji
Arete,Lachua,1904,2016,70%,U.S.A.,3.5,Trinitario (Scavina),Guatemala
Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3.5,blend,Honduras
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75,Criollo (Porcelana),Nicaragua
Arete,Phantom,1924,2016,70%,U.S.A.,4.0,Forastero (Nacional),Peru
Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75,Forastero (Arriba),Tanzania
Arete,San Juan,1724,2016,70%,U.S.A.,3.5,Trinitario,Trinidad
Arete,Tien Giang,1900,2016,73%,U.S.A.,3.5,Trinitario,Vietnam
Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25,EET,Vietnam
Arete,Beniano,2024,2017,70%,U.S.A.,4.0,Forastero,Bolivia
Arete,Pisa,2028,2017,70%,U.S.A.,4.0,Forastero,Haiti
Arete,Anamalai,2020,2017,70%,U.S.A.,3.5,Criollo (Wild),India
Arete,Sambirano Valley,2020,2017,70%,U.S.A.,3.5,"Trinitario, Nacional",Madagascar
Arete,Ucayali,2028,2017,70%,U.S.A.,3.5,Forastero,Peru
Arete,Ben Tre,2020,2017,73%,U.S.A.,3.5,"Forastero(Arriba, CCN)",Vietnam
Arete,Ramnath E.,2068,2018,70%,U.S.A.,3.0,Forastero (Amelonado),Trinidad
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo
Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75,"Criollo, Forastero",Brazil
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia
Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3.0,"Criollo, Trinitario",Madagascar
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3.0,Criollo,Peru
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75%,U.K.,2.5,"Criollo, Trinitario",Venezuela
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3.25,"Criollo, Forastero",Costa Rica
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5,"Criollo, Trinitario",Indonesia
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica
Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,1.75,Criollo (Ocumare 77),Venezuela
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3.25,Trinitario,Vietnam
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4.0,Criollo (Porcelana),Haiti
Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75,Blend,Panama
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75,blend,Colombia
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25,Trinitario,Trinidad
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75,Trinitario,Colombia
Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3.0,Forastero (Arriba),Ecuador
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Trinitario,Mexico
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania
Auro,"Saloy E., 2016",2056,2018,70%,Philippines,3.5,"Criollo, Forastero",Philippines
Auro,"Paquibao E., 2016",2056,2018,70%,Philippines,3.0,"Criollo, Trinitario",Philippines
Auro,South Cotabato,2056,2018,70%,Philippines,3.0,Criollo (Ocumare 61),Philippines
Auro,Davao,2056,2018,77%,Philippines,2.75,Blend,Philippines
Bahen & Co.,Bahia,999,2012,70%,Australia,2.5,Forastero (Arriba) ASSS,Brazil
Bahen & Co.,Sambirano,995,2012,70%,Australia,3.0,Trinitario,Madagascar
Bahen & Co.,Houseblend,999,2012,70%,Australia,2.5,Blend,Papua New Guinea
Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.5,blend,Papua New Guinea
Bahen & Co.,Houseblend,1474,2015,80%,Australia,3.25,Trinitario (85% Criollo),Sri Lanka
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.5,Forastero (Arriba),Peru
Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,2.75,Criollo (Ocumare),Peru
Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25,Criollo (Ocumare 61),Dominican Republic
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.5,Nacional (Arriba),Mexico
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4.0,Forastero (Nacional),Peru
Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.5,Criollo (Ocumare),Brazil
Bar Au Chocolat,"Turrialba, Cartago P.",1980,2017,72%,U.S.A.,3.5,"Criollo, +",Costa Rica
Bar Au Chocolat,Montserrat Hills,1980,2017,80%,U.S.A.,3.5,"Amazon, ICS",Trinidad
Baravelli's,single estate,955,2012,80%,Wales,2.75,CCN51,Costa Rica
Batch,Brazil,1868,2016,70%,U.S.A.,3.75,Blend,Brazil
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.5,Beniano,Dominican Republic
Batch,Ecuador,1880,2016,65%,U.S.A.,3.25,Criollo,Ecuador
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3.25,Blend,Malaysia
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3.0,Matina,Malaysia
Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,2.75,Matina,Brazil
Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,2.75,Criollo (Amarru),Dominican Republic
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75,EET,Ecuador
Beehive,Ecuador,1788,2016,90%,U.S.A.,2.75,Trinitario (Scavina),Ecuador
Belcolade,Costa Rica,586,2010,64%,Belgium,2.75,"Trinitario, Criollo",Costa Rica
Belcolade,Ecuador,586,2010,71%,Belgium,3.5,Criollo (Wild),Ecuador
Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75,"Trinitario, TCGA",Papua New Guinea
Belcolade,Peru,586,2010,64%,Belgium,2.75,CCN51,Peru
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25,Criollo,Bolivia
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70%,U.S.A.,3.5,Trinitario,Dominican Republic
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70%,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
Belyzium,Belize south,1768,2016,83%,Germany,3.5,Trinitario,Belize
Belyzium,Belize south,1768,2016,78%,Germany,3.0,Trinitario,Belize
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75,Trinitario,Belize
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4.0,Trinitario,Indonesia
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar
Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.5,Trinitario,Cuba
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4.0,Trinitario,Ecuador
Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.5,Criollo,Venezuela
Bernachon,Nature,797,2012,55%,France,2.75,Forastero (Arriba),"Mad., Java, PNG"
Beschle (Felchlin),"Java, Grand Cru",508,2010,64%,Switzerland,3.5,Beniano,Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72%,Switzerland,3.5,"Amazon, ICS",Venezuela
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70%,Switzerland,3.25,Trinitario,Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74%,Switzerland,3.25,Criollo (Porcelana),Venezuela
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4.0,Trinitario (Scavina),Ecuador
Beschle (Felchlin),Madagascar,636,2011,64%,Switzerland,3.0,Trinitario,Madagascar
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72%,Switzerland,3.5,"Trinitario, Criollo",Venezuela
Beschle (Felchlin),Maracaibo,636,2011,88%,Switzerland,3.0,Criollo,Venezuela
Bisou,Belize,1486,2015,86%,U.S.A.,3.25,Trinitario,Belize
Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2.5,Criollo (Porcelana),Costa Rica
Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2.5,EET,Costa Rica
Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2.5,Beniano,Nicaragua
Bitacora,Aragua,2084,2018,70%,Venezuela,3.5,Criollo (Amarru),Venezuela
Bitacora,Merida,2088,2018,70%,Venezuela,3.0,"Trinitario, Nacional",Venezuela
Bitacora,Carabobo,2088,2018,70%,Venezuela,3.0,Blend,Venezuela
Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75,Beniano,Dominican Republic
Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3.0,Forastero,Ghana
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3.0,Trinitario,Madagascar
Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.5,Nacional (Arriba),Panama
Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3.5,Amazon mix,Dominican Republic
Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3.0,"Forastero(Arriba, CCN)",Dominican Republic
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Trinitario,Madagascar
Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25,Trinitario,Madagascar
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
Bittersweet Origins,"Bali, Singaraja",478,2010,75%,U.S.A.,3.25,"Criollo, Trinitario",Indonesia
Bittersweet Origins,"Bali, Singaraja",558,2010,65%,U.S.A.,2.75,"Trinitario, Forastero",Indonesia
Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3.0,Trinitario,Madagascar
Bittersweet Origins,"Ocumare, prototype",565,2010,78%,U.S.A.,3.0,Criollo,Venezuela
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5,Forastero,Ghana
Black Mountain,La Red,256,2008,70%,U.S.A.,2.75,Criollo (Ocumare 67),Dominican Republic
Black Mountain,Matiguas,256,2008,70%,U.S.A.,3.0,"Trinitario, TCGA",Nicaragua
Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75,Trinitario,Venezuela
Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,2.75,Trinitario,Jamaica
Blanxart,Organic Dark,322,2009,72%,Spain,2.75,Nacional (Arriba),"Africa, Carribean, C. Am."
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.5,Forastero,Congo
Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.5,Criollo (Ocumare 67),Guatemala
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3.0,Amazon mix,Dominican Republic
Blue Bandana,Lachua,1752,2016,75%,U.S.A.,2.75,Forastero,Guatemala
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5,Trinitario,Madagascar
Blue Bandana,Kokoa Kamili,1752,2016,75%,U.S.A.,3.5,Amazon,Tanzania
Boho,Maya Mtn,1996,2017,70%,U.S.A.,2.75,Criollo (Ocumare 61),Belize
Bonnat,Trinite,24,2006,75%,France,3.75,Trinitario,Carribean
Bonnat,Madagascar,75,2006,75%,France,4.0,Trinitario,Madagascar
Bonnat,Ceylan,81,2006,75%,France,3.0,"Trinitario, Forastero",Sri Lanka
Bonnat,"Ocumare, Puerto Cabello",32,2006,75%,France,4.0,Forastero (Arriba) ASS,Venezuela
Bonnat,"Maracaibo, El Rosario",48,2006,75%,France,4.0,Criollo,Venezuela
Bonnat,Chuao,81,2006,75%,France,4.0,Trinitario,Venezuela
Bonnat,One Hundred,81,2006,100%,France,1.5,blend,"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Equateur,123,2007,75%,France,2.5,Forastero (Arriba),Ecuador
Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4.0,Criollo (Porcelana),Venezuela
Bonnat,Ivory Coast,331,2009,75%,France,3.0,EET,Ivory Coast
Bonnat,"Porcelana, Tabasco,  Marfil de Blanco",336,2009,75%,France,3.0,Criollo,Mexico
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3.0,Criollo,Mexico
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75,Criollo,Peru
Bonnat,Libanio,629,2011,75%,France,3.75,"Criollo, +",Brazil
Bonnat,Juliana,672,2011,75%,France,3.5,Criollo (Ocumare 77),Brazil
Bonnat,Cuba,629,2011,75%,France,3.5,Trinitario,Cuba
Bonnat,Haiti,629,2011,75%,France,4.0,Forastero (Parazinho),Haiti
Bonnat,Jamaique,761,2011,75%,France,3.25,Trinitario,Jamaica
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4.0,Criollo,Madagascar
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.5,"Trinitario, Nacional",Peru
Bonnat,Piura Blanco,629,2011,75%,France,3.5,Forastero (Nacional),Peru
Bonnat,Maragnam,1038,2013,75%,France,3.5,CCN51,Brazil
Bonnat,Gabon,1042,2013,75%,France,3.25,Beniano,Gabon
Bonnat,Kaori,1339,2014,75%,France,4.0,Criollo (Ocumare),Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3.25,Criollo (Porcelana),Dominican Republic
Bonnat,Surfin,1418,2014,65%,France,3.75,Forastero (Amelonado),"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Selva Maya,1912,2016,75%,France,3.5,Trinitario (Scavina),Mexico
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77%,Ecuador,3.25,Forastero (Arriba),Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100%,Ecuador,1.5,Forastero (Arriba),Ecuador
Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75,Trinitario,Belize
Bowler Man,Conacado,1271,2014,70%,U.S.A.,2.75,"Trinitario, Criollo",Dominican Republic
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3.0,Trinitario,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70%,U.S.A.,3.25,Forastero (Arriba),Ecuador
Brasstown aka It's Chocolate,Ghana,1129,2013,75%,U.S.A.,3.5,Forastero,Ghana
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85%,U.S.A.,3.5,Trinitario,Venezuela
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize
Brasstown aka It's Chocolate,Chuao,1355,2014,70%,U.S.A.,4.0,Trinitario,Venezuela
Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75,Criollo (Ocumare),Dominican Republic
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70%,U.S.A.,3.75,"Criollo, +",Nicaragua
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3.5,Criollo,Venezuela
Brasstown aka It's Chocolate,Elvesia P.,1980,2017,70%,U.S.A.,3.25,Forastero (Nacional),Dominican Republic
Brasstown aka It's Chocolate,Manabi,1984,2017,75%,U.S.A.,3.75,"Criollo, +",Ecuador
Brasstown aka It's Chocolate,"Wild Bolivia, Sucre",2096,2018,70%,U.S.A.,4.0,Forastero (Catongo),Bolivia
Brazen,Maya Mountain,1518,2015,80%,U.S.A.,3.25,Trinitario,Belize
